Updated Matlist.txt 5/22/2011
http://www.VarmintAl.com/aengr.htm
English Units (lbf-s2/in, in, s, lbf, psi, lbf-in)
 
I.D. Material Name and Condition.                                  Density Yng's Poiss  Yld   Ult  Elong Redu  CTE  Yld
                                                                   lb/in^3 Modul Ratio  Strs  Strs   %   Area 10^-6 off-
                                                                            msi         ksi   ksi         %   /degF set
  66 ALUMINUM 5454-O                                                0.0970 10.20 0.330  16.7  35.8  24.5 48.0 13.10 0.20
  67 ALUMINUM 5454-H32 SHEET                                        0.0970 10.20 0.330  32.0  40.0  11.0  --- 13.10 0.20
  68 ALUMINUM 5454-H32                                              0.0970 10.20 0.330  28.9  40.9  15.7 32.0 13.10 0.20
  69 ALUMINUM 5454-H34 SHEET                                        0.0970 10.20 0.330  40.0  46.0  11.0  --- 13.10 0.20
  70 ALUMINUM 5454-H32 PLATE                                        0.0970 10.20 0.330  38.0  40.0  16.0  --- 13.10 0.20
  71 ALUMINUM 5456-O SHEET                                          0.0960 10.30 0.330  25.0  49.0  22.0  --- 13.30 0.20
  72 ALUMINUM 5456-O                                                0.0960 10.30 0.330  23.2  49.0  21.8 31.0 13.30 0.20
  73 ALUMINUM 5456-H24 SHEET                                        0.0960 10.30 0.330  41.0  54.0  13.0  --- 13.30 0.20
  74 ALUMINUM 5456-H321 SHEET                                       0.0960 10.30 0.330  37.0  51.0  16.0  --- 13.30 0.20
  75 ALUMINUM 5456-H321 PLATE                                       0.0960 10.30 0.330  34.0  56.0  14.0  --- 13.30 0.20
  76 ALUMINUM 6061-O SHEET                                          0.0980 10.00 0.330   8.0  18.0  25.0  --- 13.10 0.20
  77 ALUMINUM 6061-T6 SHEET THICK                                   0.0980 10.00 0.330  41.0  45.0  14.0  --- 13.10 0.20
  78 ALUMINUM 6061-T6 SHEET THIN                                    0.0980 10.00 0.330  43.0  47.0  12.0  --- 13.10 0.20
  79 ALUMINUM 6061-T6                                               0.0980 10.00 0.330  42.2  44.9  16.5 50.0 13.10 0.20
  80 ALUMINUM 6061-T651 PLATE                                       0.0980 10.00 0.330  39.0  42.0  16.0  --- 13.10 0.20
  81 ALUMINUM 6063-O SHEET                                          0.0980 10.00 0.330   7.0  13.0  25.0  --- 13.00 0.20
  82 ALUMINUM 6063-T4 SHEET                                         0.0980 10.00 0.330  13.0  25.0  22.0  --- 13.00 0.20
  83 ALUMINUM 6063-T6 SHEET                                         0.0980 10.00 0.330  31.0  35.0  12.0  --- 13.00 0.20
  84 ALUMINUM 6063-T6                                               0.0980 10.00 0.330  31.0  35.0  18.0  --- 13.00 0.20
  85 ALUMINUM 6063-T832 SHEET                                       0.0980 10.00 0.330  39.0  42.0  12.0  --- 13.00 0.20
  86 ALUMINUM 6066-O SHEET                                          0.0980 10.00 0.330  12.0  22.0  20.0  --- 12.90 0.20
  87 ALUMINUM 6066-T4 SHEET                                         0.0980 10.00 0.330  30.0  52.0  15.0  --- 12.90 0.20
  88 ALUMINUM 6066-T6 SHEET                                         0.0980 10.00 0.330  51.0  59.0  12.0  --- 12.90 0.20
  89 ALUMINUM X7005-O SHEET                                         0.1010 10.30 0.330  12.0  28.0  20.0  --- 13.20 0.20
  90 ALUMINUM X7005-T6 SHEET                                        0.1010 10.30 0.330  46.0  52.0  14.0  --- 13.20 0.20
  91 ALUMINUM 7005-T5351                                            0.1010 10.30 0.330  55.0  62.0  15.0 43.0 13.20 0.20
  92 ALUMINUM 7039-O SHEET                                          0.1010 10.10 0.330  15.0  33.0  22.0  --- 13.00 0.20
  93 ALUMINUM 7039-T6 SHEET                                         0.1010 10.10 0.330  55.0  63.0  12.0  --- 13.00 0.20
